Book Title,Book Author,,
Uchalya,Lakshman Gaikwad,,
Prak- Cinema,Arun Khopkar,,
Shreshtha Bharatiya Bal Katha,Baba Bhand,,
Mahatma Jyotirao Phule,Dhananjay Keer,,
Bhura,Sharad Baviskar,,
Brahmakanya,Dr. Shridhar Venkatesh Ketkar,,
Ajgar,Chi. Trya. Khanolkar,,
Anarth,Bharat Sasane,,
Mumbai Dinank,Arun Sadhu,,
Chaar Nagarantale Maze Vishwa,Jayant Vishnu Narlikar,,
Bidhar,Bhalchandra Nemade,,
Tukaram Gatha,Edited by Bhalchandra Nemade,,
Yuganta,Irawati Karve,,
Rada,Bhau Padhye,,
Cobalt Blue,Sachin Kundalkar,,
Kalwad,Appasaheb Khot,,
Janglantil Divas,Venkatesh Madgulkar,,
Kalekarde Stokes,Pranav Sakhdeo,,
Khekda,Ratnakar Matkari,,
Arthachya Shodhat,Victor Frankl,,
Deserter,Vijay Deodhar,,
Ek-Ek Pan Galavaya,Gauri Deshpande,,
Garambicha Bapu,Shri. Na. Pendse,,
Priya G.A. Sunita Deshpande,G.A. Kulkarni & Sunita Deshpande,,
Maran Swasta Hot Aahe,Baburao Bagul,,
Upara,Laxman Mane,,
Tissue Paper,Ramesh Ravalkar,,
Parigh,Sudha Murthy,,
Khup Lok Aahet,Shyam Manohar,,
Thalipeeth,Bhau Padhye,,
Jenva Manus Jaga Hoto,Godavari Parulekar,,
Eda pida talo,Aasaram Lomate,,
Rarang Dhang,Prabhakar Pendharkar,,
Nilya Dolyanchi Mulgi,Shilpa Kambale,,
Fesati,Navnath Gore,,
Aai Samjun Ghetana,Uttam Kamble,,
Ek Hota Carver,Veena Gawankar,,
Neelagini,Smita Potnis,,
Mazya Bapachi Pend,D. M. Mirasdar,,
Mrityunjay,Shivaji Sawant,,
Chakra,Jayawant Dalawi,,
Moden Pan वाकणार Nahi,V.P. Kale,,
Kahi Khare Kahi Khote,V.P. Kale,,
Tu Bhramat Ahasi Baya,V.P. Kale,,
Mi Manus Shodhatoy,V.P. Kale,,
Rangpanchami,V.P. Kale,,
Ghar Harvaleli Manse,V.P. Kale,,
Hi Vat Ekutichi,V.P. Kale,,
Dost,V.P. Kale,,
One For The Road,V.P. Kale,,
Partner,V.P. Kale,,
Sakhi,V.P. Kale,,
Hunkar,V.P. Kale,,
Maze Mazhyapashi?,V.P. Kale,,
Taptapadi,V.P. Kale,,
Intimate,V.P. Kale,,
Aapan Sare Arjun...,V.P. Kale,,
Ka Re Bhulalasi,V.P. Kale,,
Bai, Baiko, Calendar,V.P. Kale
Goshtha Haatali Hoti!,V.P. Kale,,
Navra Mhanava Aapala,V.P. Kale,,
Manadeshil Manse,Venkatesh Madgulkar,,
Gavakadchya Goshti,Venkatesh Madgulkar,,
Sattantar,Venkatesh Madgulkar,,
Vata,Venkatesh Madgulkar,,
